Photo,Number,Tadpole,TotalLength,BodyLength,TailLength,MaxTailDepth,TailMuscleHeight,TailSpotArea,Red,Green,Blue,Hue,Chroma,Brightness,HeadWidth,TailMuscleWidth,
8167/8168,65,4,15.359,5.855,9.565,1.141,1.034,3.273,70.179,51.52,39.186,17.682,109.451,70.183,3.011,0.938,
7866/7867,90,3,11.524,3.902,7.855,2.651,1.227,0.886,179.377,125.763,105.252,53.318,109.192,179.377,2.054,0.769,
8138/8139,8,4,15.713,5.651,10.035,2.797,1.222,3.342,91.924,65.207,52.32,13.164,109.167,91.924,3.032,1.076,
7381/7382,45,3,11.053,4.11,7.022,2.694,1.018,3.468,83.471,58.251,47.201,13.672,109.106,83.471,2.43,0.785,
7344/7345,17,2,13.548,4.761,8.575,2.947,1.168,2.317,171.25,128.016,102.544,15.604,109.045,171.25,2.518,0.981,
7319/7320,96,4,10.646,4.009,6.851,2.426,0.98,2.571,147.993,107.874,84.619,15.469,108.999,147.994,2.305,0.416,
7942/7943,53,3,20.614,7.052,13.661,4.554,1.641,5.015,150.34,112.301,86.376,16.908,108.93,150.402,3.574,1.38,
7946/7947,144,2,18.801,6.307,12.263,3.758,1.621,3.882,200.252,151.675,115.428,18.165,108.661,200.265,3.242,1.256,
8132/8133,18,3,10.475,3.819,6.826,2.478,0.959,1.272,92.222,65.842,51.87,13.483,107.671,92.222,2.245,0.693,
7924/7925,89,1,15.44,5.56,9.932,3.508,1.498,1.956,208.284,162.489,122.112,19.49,107.353,208.284,2.638,1.178,
8134/8135,81,1,12.443,4.341,8.054,3.26,1.203,2.897,83.513,58.659,47.954,12.211,107.35,83.513,2.753,0.751,
7944/7945,16,1,16.329,5.541,10.84,3.62,1.279,8.08,64.973,46.908,34.144,19.212,107.166,65.227,3.326,1.113,
7926/7927,69,5,15.688,5.73,10.098,3.721,1.275,2.857,141.68,108.163,85.5,16.751,106.959,141.68,3.149,1.028,
7384/7385,83,5,12.543,4.439,8.062,2.512,1.155,2.847,112.564,81.647,69.066,12.736,106.678,112.564,2.687,0.869,
7975/7976,22,5,15.5,5.198,10.446,3.669,1.252,2.321,228.584,171.686,131.91,17.477,106.277,228.589,2.714,1.07,
7325/7326,121,3,15.759,5.64,10.128,3.56,1.376,4.433,114.999,83.71,67.899,13.203,105.529,114.999,3.105,1.048,
7948/7949,14,3,17.943,6.201,11.631,4.011,1.434,2.049,202.053,158.546,119.271,19.885,105.483,202.059,3.232,1.216,
8134/8135,81,5,13.225,4.648,8.316,3.129,1.297,3.476,107.627,78.073,61.81,15.757,104.876,107.628,2.812,0.891,
7995/7996,10,1,16.819,5.546,10.953,3.881,1.664,2.454,216.288,166.351,127.132,18.588,104.499,216.288,3.281,1.184,
8175/8176,125,3,12.634,4.774,7.629,2.691,1.121,1.09,179.132,136.778,111.438,15.864,104.022,179.132,2.753,0.828,
8140/8141,99,4,14.049,4.916,9.201,3.25,1.348,1.365,132.144,98.236,78.543,14.98,103.695,132.144,2.755,1.005,
7390/7391,112,3,11.741,4.202,7.54,2.725,0.916,2.853,93.899,68.453,56.423,12.718,103.572,93.899,2.537,0.69,
7995/7996,10,2,17.235,6.193,11.146,3.803,1.712,4.172,195.511,145.414,116.622,15.14,103.371,195.516,3.427,1.327,
7979/7980,71,4,14.377,4.935,9.466,2.453,1.365,0.366,224.638,180.324,135.261,21.699,103.326,224.638,2.797,0.973,
7973/7974,66,2,9.038,3.453,5.583,1.931,0.809,0.232,179.983,153.334,109.096,26.664,102.935,180.268,2.213,0.58,
7319/7320,96,1,13.858,4.91,8.574,3.505,1.184,6.62,65.818,45.561,35.129,15.387,102.819,65.818,2.836,0.834,
7975/7976,22,2,13.234,4.679,8.436,2.797,1.167,1.357,202.924,158.562,121.084,18.913,102.72,202.924,2.607,0.913,
8165/8166,128,3,14.398,5.169,9.253,3.573,1.191,3.694,114.011,90.461,69.353,18.716,102.664,114.011,2.992,1.044,
7331/7332,75,3,8.66,3.534,5.402,2.3,0.84,1.335,97.662,72.252,59.78,12.703,102.22,97.662,2.001,0.407,
7877/7878,131,4,14.264,5.172,8.991,3.57,1.305,3.969,71.217,49.217,41.562,41.723,102.139,71.242,3.025,0.968,
7879/7880,73,3,15.249,5.648,9.745,3.837,1.384,4.851,119.883,89.032,72.437,24.767,101.954,119.888,3.222,1.019,
7977/7978,4,3,15.679,5.151,10.559,3.331,1.211,2.628,185.116,145.458,114.282,18.629,100.875,185.282,3.016,1.057,
8173/8174,59,2,11.973,5.583,7.394,2.778,1.107,0.215,225.835,176.838,137.792,19.523,100.726,225.835,2.58,0.953,
7997/7998,2,1,17.028,6.101,11.19,4.24,1.638,5.547,186.138,142.039,113.027,16.627,100.704,186.195,3.237,1.271,
7379/7380,46,1,12.559,4.767,7.661,3.32,1.072,4.086,75.261,53.874,43.36,14.648,100.614,75.261,2.768,0.895,
8169/8170,72,2,14.844,5.506,9.121,4.031,1.25,6.359,93.917,70.601,56.251,14.615,100.512,93.934,2.942,1.193,
7340/7341,111,1,12.014,4.265,7.772,1.987,1.072,0.574,199.801,155.878,124.861,17.602,100.289,199.801,2.314,0.885,
8136/8137,105,1,13.872,4.642,9.451,3.285,1.199,4.785,85.773,61.949,51.521,15.502,100.187,85.784,2.819,0.872,
8152/8153,126,3,14.05,4.973,9.113,2.554,1.331,0.137,235.176,182.318,143.734,18.015,100.114,235.176,2.474,1.075,
8136/8137,105,3,13.469,4.599,8.882,3.526,1.33,4.191,75.577,51.457,41.045,21.642,99.854,75.584,2.841,1.008,
7977/7978,4,2,15.72,5.455,10.151,3.584,1.334,2.126,168.847,135.411,105.392,20.094,99.739,169.068,3.224,0.924,
8136/8137,105,2,12.273,3.873,8.467,3.049,1.007,5.146,76.218,51.855,43.005,29.899,99.679,76.218,2.338,0.924,
7392/7393,44,2,10.674,4.03,6.545,1.669,0.809,2.031,90.94,68.322,56.47,13.546,99.399,90.94,2.389,0.611,
7877/7878,131,1,16.254,5.504,10.722,3.17,1.153,4.43,81.961,59.254,50.378,43.531,99.229,82.425,3.307,0.929,
8144/8145,84,2,16.947,5.848,11.004,3.792,1.555,2.818,165.235,131.118,102.542,19.058,98.438,165.235,2.895,1.253,
7329/7330,33,1,11.795,4.457,7.285,2.895,1.085,1.563,117.152,90.196,74.457,14.892,98.43,117.152,2.339,0.839,
7334/7335,103,2,16.481,6.151,10.278,3.3034,1.406,5.23,101.961,75.368,62.605,12.974,98.417,98.417,3.248,1.1,
7329/7330,33,3,9.401,3.51,5.905,2.297,0.895,1.883,89.212,64.618,53.107,15.694,98.373,89.212,2.233,0.644,
8167/8168,65,2,13.417,4.958,8.79,2.992,0.906,2.706,87.34,64.901,53.472,20.319,97.789,87.34,2.841,0.915,
7373/7374,130,5,11.402,4.359,7.066,2.576,1.128,0.374,203.348,155.716,127.98,15.894,97.78,203.348,2.448,0.799,
7973/7974,66,3,12.203,4.283,8.13,2.846,1.051,0.594,162.715,138.404,103.114,24.588,97.725,162.738,2.543,0.791,
8171/8172,34,1,18.474,6.652,11.841,4.501,1.563,2.796,173.239,137.533,107.118,19.651,97.559,173.239,3.026,1.012,
7392/7393,44,5,11.673,4.484,7.077,2.78,1.152,1.311,111.258,83.477,69.276,13.283,97.518,111.258,2.691,0.856,
7889/7890,48,4,16.498,5.734,11.113,4.225,1.247,2.401,101.863,77.117,63.822,28.317,97.137,102.195,3.013,1.147,
7331/7332,75,2,16.207,5.863,10.473,3.334,1.323,4.281,91.503,67.836,56.647,11.859,97.105,91.503,3.193,1.031,
7325/7326,121,1,17.368,5.879,11.458,3.723,1.462,7.063,137.674,105.155,86.052,15.577,97.073,137.674,3.126,1.394,
7946/7947,144,4,17.13,5.667,11.41,3.413,1.52,1.266,213.206,168.983,133.36,19.039,96.681,213.206,3.372,1.102,
7323/7324,36,5,9.267,3.166,6.029,2.102,0.828,1.196,111.573,82.642,70.038,12.398,96.603,111.573,2.067,0.572,
7375/7376,77,1,12.621,4.895,7.668,3.687,1.145,6.395,70.916,51.279,41.918,22.487,96.586,70.916,2.913,0.827,
7357/7358,123,4,11.258,4.314,6.877,1.976,0.807,1.548,127.8,97.064,81.062,13.756,96.411,127.8,2.438,0.778,
7369/7370,106,2,13.493,4.802,8.652,2.792,1.184,0.313,220.142,172.206,141.329,17.869,96.223,220.142,2.625,0.834,
7331/7332,75,4,15.918,5.764,10.453,3.764,1.277,6.29,85.802,62.755,53.911,13.273,96.186,85.802,2.939,1.07,
7334/7335,103,1,10.331,3.885,6.355,2.37,0.985,0.803,125.71,94.72,79.388,12.898,96.15,125.71,2.143,0.72,
7319/7320,96,3,10.799,3.739,7.037,2.48,0.939,1.579,73.188,53.972,44.953,13.847,96.076,73.189,2.095,0.795,
7329/7330,33,2,11.024,4.338,6.84,2.445,1.029,1.555,86.939,64.747,54.892,12.674,96.022,86.939,1.789,0.962,
7321/7322,36,3,9.349,3.34,5.961,2.086,0.829,1.059,109.795,80.834,69.155,11.325,96.012,109.795,1.994,0.572,
7357/7358,123,2,12.402,4.583,7.626,2.6,1.088,2.067,156.125,122.124,100.302,16.001,95.837,156.125,2.792,0.881,
7325/7326,121,2,14.183,5.282,8.918,3.56,1.146,5.134,96.09,71.139,60.277,12.031,95.821,96.09,2.968,1.014,
8001/8002,11,1,17.466,6.117,11.567,3.515,1.414,1.941,186.149,147.058,117.992,18.679,95.441,186.507,3.368,1.315,
7342/7343,42,2,14.271,5.175,9.195,2.428,1.281,1.187,202.446,158.19,129.804,16.685,95.016,202.016,2.696,1.044,
7325/7326,121,4,14.551,5.279,9.234,3.564,1.313,2.877,109.498,82.587,69.836,14.54,94.979,109.498,2.917,1.039,
8169/8170,72,5,14.946,5.785,9.19,3.976,1.287,6.626,109.786,84.788,69.142,14.758,94.954,109.786,3.032,1.03,
7384/7385,83,3,11.789,4.248,7.452,2.246,0.917,3.512,70.978,51.837,43.664,17.537,94.918,70.978,2.706,0.694,
7363/7365,86,1,12.128,4.466,7.515,3.009,1.021,2.178,106.559,81.962,68.69,14.368,94.76,106.57,2.63,0.81,
7392/7393,44,3,12.651,4.761,7.669,3.168,1.059,3.314,137.85,106.713,88.058,15.283,94.311,137.85,2.714,0.955,
7338/7339,51,2,14.623,4.993,9.672,3.123,1.385,1.231,203.343,157.218,129.144,15.969,94.2,203.343,2.621,1.025,
8165/8166,128,4,14.921,5.559,9.495,3.719,1.289,2.798,160.099,126.85,101.602,18.255,94.106,160.099,2.694,1.106,
7363/7365,86,3,12.338,4.369,7.916,2.532,0.893,1.837,114.202,87.655,73.252,13.679,94.077,114.202,2.737,0.863,
7977/7978,4,4,15.645,5.605,10.171,4.016,1.215,3.689,206.313,166.39,131.001,20.627,93.667,206.547,3.324,1.027,
8138/8139,8,5,15.227,5.518,9.804,3.486,1.368,2.689,144.957,113.101,93.002,15.455,93.525,144.957,2.879,1.262,
7360/7362,37,4,13.383,4.76,8.487,3.106,1.131,2.077,147.902,115.42,95.99,15.271,93.238,147.902,2.905,0.938,
7388/7389,55,3,11.909,4.385,7.435,2.578,1.086,2.296,136.118,107.032,89.023,15.876,92.934,136.118,2.59,0.779,
8009/9010,60,2,17.118,5.957,11.296,3.937,1.564,0.918,236.896,191.415,151.664,19.322,91.935,236.896,3.236,1.253,
7985/7986,47,1,15.323,5.554,9.941,3.274,1.341,0.529,240.201,193.297,154.147,18.763,91.829,240.201,2.939,1.069,
7944/7945,16,2,20.056,6.489,13.547,4.226,1.487,3.081,230.213,187.268,147.001,20.229,91.572,230.213,3.215,1.302,
7377/7378,140,4,10.961,4.335,6.572,3.042,1.038,3.687,70.183,51.473,42.52,17.528,91.357,70.189,2.18,0.794,
7338/7339,51,1,11.667,4.318,7.387,2.673,1.109,0.762,182.362,145.163,121.084,16.823,90.947,182.362,1.797,0.903,
7342/7343,42,1,13.554,4.778,8.917,2.815,1.281,1.468,233.607,190.117,150.719,20.328,90.827,233.607,2.283,0.925,
7898/7899,9,4,16.818,6.026,10.6,4.29,1.664,1.834,209.234,161.426,135.147,14.854,90.646,209.236,3.12,1.311,
8148/8149,76,3,13.79,4.926,9.167,3,1.43,0.244,231.339,184.904,152.341,18.45,90.292,231.339,2.56,1.058,
8177/8178,79,5,16.305,5.709,10.681,3.751,1.412,1.562,222.73,180.477,144.267,19.308,90.172,222.73,2.998,1.147,
7934/7935,107,1,13.99,5.29,8.721,3.725,1.258,1.795,157.991,129.918,107.177,19.671,90.06,157.977,3.109,0.943,
7384/7385,83,1,12.316,4.577,7.682,2.608,1.082,3.501,69.628,51.586,44.106,14.686,89.882,69.628,2.744,0.833,
8165/8166,128,1,15.729,5.91,9.768,3.675,1.33,7.043,70.516,55.818,45.915,16.031,89.831,70.516,2.948,1.211,
8001/8002,11,3,17.716,6.192,11.588,4.128,1.694,5.752,205.153,160.431,133.201,16.616,89.793,205.177,3.472,1.21,
8163/8164,20,4,14.025,4.617,9.242,2.731,1.05,2.216,155.705,127.483,100.371,19.865,89.79,155.706,2.818,0.901,
7997/7998,2,4,18.613,6.632,12.587,4.189,1.656,2.407,196.197,154.92,127.294,17.327,89.713,196.206,3.57,1.475,
7971/7972,116,4,13.593,4.948,8.788,2.739,1.148,1.278,211.676,171.75,138.099,23.143,89.631,211.817,2.664,0.899,
7979/7980,71,1,15.935,5.508,10.63,3.471,1.315,1.338,243.337,200.922,157.594,20.954,89.431,243.337,3.009,1.124,
7344/7345,17,3,12.047,4.365,7.601,2.024,1.03,0.795,209.78,165.09,137.813,16.29,89.318,209.78,2.28,0.905,
7355/7356,41,1,13.209,4.752,8.427,3.109,1.21,3.784,172.067,138.362,113.717,17.325,89.23,172.067,2.257,0.874,
7981/7982,104,4,16.242,5.771,10.712,3.186,1.412,0.972,236.703,194.522,153.557,20.365,89.11,236.703,2.899,1.137,
8009/9010,60,4,16.208,5.597,10.765,3.788,1.376,1.534,237.279,185.112,154.587,15.317,88.802,237.279,3.062,1.061,
7338/7339,51,5,13.525,4.836,8.816,2.781,1.227,0.602,205.195,162.669,136.143,16.983,88.668,205.195,2.606,0.944,
8177/8178,79,1,16.783,5.745,10.901,3.765,1.455,4.384,166.496,132.968,110.545,16.791,88.545,166.496,2.958,1.306,
8132/8133,18,4,11.794,4.236,7.479,2.957,1.037,2.366,68.178,49.112,41.834,30.964,88.246,68.289,2.449,0.769,
8150/8151,93,1,14.943,5.067,9.883,2.988,1.429,0.447,230.983,184.242,152.704,17.333,88.021,230.983,2.716,1.091,
7995/7996,10,4,16.255,5.638,10.629,3.32,1.529,2.435,218.65,171.309,143.266,15.562,87.983,218.65,3.265,1.318,
7319/7320,96,2,10.655,3.683,6.943,2.388,0.888,2.595,66.126,49.447,41.682,14.468,87.907,66.126,2.123,0.59,
8169/8170,72,4,12.806,4.973,8.498,3.378,1.022,3.702,97.664,76.776,65.144,13.6,87.757,97.664,2.78,0.79,
7312/7313,138,2,13.355,4.71,8.543,3.32,1.17,6.607,63.061,45.569,40.262,25.112,87.672,63.067,2.708,0.853,
7973/7974,66,1,15.159,5.072,10.387,3.329,1.155,0.737,217.765,180.851,143.58,21.427,87.425,217.812,2.875,0.908,
7342/7343,42,4,12.544,4.562,8.088,2.65,1.215,0.955,153.048,120.004,104.782,13.085,87.254,153.048,2.252,0.927,
7390/7391,112,4,10.9,4.462,6.426,1.71,0.597,1.73,99.269,77.8,66.361,13.936,87.01,99.269,2.53,0.761,
7340/7341,111,3,9.038,3.375,5.659,1.819,0.945,0.158,222.026,184.492,147.595,21.523,86.987,222.026,1.972,0.682,no tail spot
7360/7362,37,2,14.647,5.327,9.434,3.146,1.327,1.295,178.298,144.143,119.141,17.2,86.765,178.298,2.748,1.166,
8146/8147,62,1,13.994,4.843,10.174,2.739,1.295,1.288,225.451,189.517,149.4,22.536,86.697,225.451,2.551,1.222,
7995/7996,10,3,17.192,5.666,11.647,3.617,1.344,2.221,228.527,185.132,150.269,18.948,86.659,228.632,3.134,1.274,
7896/7897,49,3,13.973,4.914,9.279,2.999,1.204,1.692,215.482,174.523,143.509,18.163,86.602,215.482,2.892,1.015,
8140/8141,99,3,14.199,5.122,9.153,3.145,1.36,1.449,153.058,126.66,104.184,18.783,86.248,153.058,2.709,1.127,
7329/7330,33,4,13.023,4.465,8.67,2.794,1.085,2.508,72.954,55.028,47.71,16.221,86.201,92.954,2.576,0.855,
7877/7878,131,2,11.977,4.438,7.572,2.71,0.842,0.923,125.547,99.362,84.584,48.536,86.201,125.587,2.644,0.87,
8138/8139,8,3,13.623,5.134,8.691,3.36,1.221,1.485,188.98,158.661,126.048,21.98,86.081,188.98,2.789,0.95,
7942/7943,53,2,18.867,6.503,12.119,4.843,1.575,4.65,180.909,147.311,120.515,18.625,86.052,180.916,2.965,1.339,
7887/7888,6,3,18.184,6.233,11.789,3.158,1.427,2.411,175.091,142.403,118.567,17.639,85.11,175.091,3.065,1.171,
8130/8131,132,2,12.342,4.191,8.22,3.109,1.215,3.534,69.439,50.497,43.486,30.792,84.944,69.443,2.386,0.964,
7395/7396,3,1,12.462,4.654,7.674,3.077,1.062,1.311,195.664,160.108,132.558,18.373,84.735,195.664,2.585,0.877,
8171/8172,34,3,16.624,5.96,10.614,4.094,1.532,1.861,181.578,147.408,121.929,18.259,84.553,181.578,3.122,1.045,
7985/7986,47,3,15.838,5.247,10.676,3.175,1.407,0.823,229.368,190.049,156.113,19.54,84.487,229.368,2.242,1.21,
7926/7927,69,1,16.708,6.024,10.623,4.127,1.454,1.95,179.185,150.38,121.448,20.902,84.189,179.185,3.389,1.017,
7334/7335,103,3,11.139,4.042,7.241,2.729,1.046,2.123,74.025,54.766,48.4,23.586,84.081,74.053,2.372,0.734,
8169/8170,72,3,13.861,5.221,8.677,3.7,1.159,4.134,141.629,117.092,95.753,19.112,84.063,141.63,3.029,0.834,
7928/7929,27,2,14.225,5.154,9.054,3.284,1.326,1.05,234.773,196.846,157.494,21.114,83.744,234.773,2.92,1.161,
7390/7391,112,5,11.364,4.287,6.91,3.034,1.176,3.606,134.242,107.546,91.841,14.986,83.551,134.242,2.515,0.789,
7392/7393,44,1,11.337,4.123,7.05,2.475,0.931,2.31,76.48,59.355,51.32,13.431,83.458,76.482,2.471,0.73,
7889/7890,48,5,16.498,5.735,10.764,4.026,1.423,2.763,160.045,130.645,110.275,18.621,83.456,160.045,3.236,1.153,
7922/7923,85,5,15.91,5.946,10.199,3.75,1.344,3.229,198.047,164.161,134.286,19.91,83.218,198.075,3.134,1.258,
7948/7949,14,4,15.51,5.455,10.638,3.494,1.133,0.618,220.354,176.602,148.371,16.562,83.017,220.354,3.022,1.045,
8167/8168,65,3,14.397,5.053,9.241,3.376,1.127,1.116,162.689,137.858,109.566,22.384,82.792,162.689,2.726,0.977,
8130/8131,132,3,13.232,4.307,9.167,3.427,1.134,5.316,54.821,39.6,34.465,33.062,82.747,54.824,2.763,0.894,
8148/8149,76,4,14.669,5.271,9.311,3.154,1.469,1.166,235.252,193.261,159.052,20.183,82.292,235.252,2.911,1.077,
7372/7371,113,5,12.041,4.377,7.464,2.246,0.975,0.167,239.939,195.087,163.432,19.214,82.255,239.939,2.102,0.936,
7877/7878,131,3,15.384,5.502,10.22,3.39,1.149,2.562,152.772,122.836,104.773,23.03,82.233,152.772,3.132,1.095,
7971/7972,116,1,15.749,5.44,10.211,4.12,1.4,1.447,198.858,168.042,135.498,21.278,82.011,198.883,3.315,1.119,
8175/8176,125,2,16.221,5.934,10.422,3.788,1.417,1.312,174.444,144.072,123.549,17.167,81.966,174.444,3.124,1.141,
7342/7343,42,3,12.816,4.665,8.18,2.876,1.086,0.738,216.817,176.007,148.276,17.335,81.704,216.817,2.67,1.016,
7946/7947,144,3,17.366,5.854,11.692,3.64,1.472,1.267,218.908,187.843,148.968,23.302,81.439,218.908,3.277,1.141,
8132/8133,18,1,12.258,4.241,8.076,3.168,1.053,4.666,70.607,53.599,44.41,39.216,81.38,70.616,2.377,0.908,
8148/8149,76,2,16.053,5.422,10.694,3.13,1.436,0.969,222.681,186.136,152.769,20.491,81.083,222.681,2.998,1.12,
7392/7393,44,4,12.919,4.57,8.172,2.529,0.994,4.504,73.124,57.447,50.324,12.491,80.936,73.138,2.807,0.855,
8173/8174,59,4,16.803,6.113,10.928,3.819,1.494,3.293,166.063,139.068,114.784,19.551,80.815,166.063,3.278,1.177,
7879/7880,73,1,16.605,5.768,10.59,3.897,1.381,3.308,132.602,107.397,92.139,23.45,80.765,132.603,3.176,1.032,
7979/7980,71,5,15.961,5.446,10.767,3.24,1.492,0.742,235.023,196.216,160.793,20.073,80.655,235.023,2.945,1.132,
7999/8000,100,2,12.237,4.424,8.062,2.964,1.128,0.979,204.195,170.352,140.188,19.532,80.559,204.203,2.571,0.908,
7360/7362,37,5,13.674,4.84,8.893,3.224,1.203,1.638,163.734,134.047,114.567,16.146,79.67,163.734,2.663,0.922,
7879/7880,73,2,16.461,5.493,10.912,3.898,1.375,3.949,159.522,131.302,110.92,23.075,79.63,159.525,3.278,1.1,
8140/8141,99,1,12.905,5.956,8.532,2.526,1.136,0.843,209.11,175.198,143.617,20.298,79.531,209.11,2.787,1.021,
7355/7356,41,2,12.554,4.701,8.098,2.489,1.067,1.707,174.201,145.668,121.625,18.899,79.449,174.201,2.554,0.889,
8005/8006,1,2,8.276,3.171,5.057,2.181,1.026,0.837,182.935,156.458,127.809,21.616,79.44,182.937,1.952,0.672,
7977/7978,4,1,15.697,5.471,10.207,3.353,1.296,2.076,234.155,200.211,161.339,22.366,78.943,234.156,3.104,0.973,
8130/8131,132,1,11.612,3.827,7.589,2.788,1.131,4.246,64.884,47.879,41.359,48.707,78.398,64.439,2.19,0.929,
7999/8000,100,4,17.721,6.054,11.489,3.78,1.583,3.679,222.872,185.601,153.446,19.78,78.378,222.89,3.211,1.225,
8001/8002,11,2,10.78,4.069,6.844,2.608,1.034,1.281,217.293,179.934,151.449,18.019,77.819,217.307,2.457,0.857,
8009/9010,60,1,14.564,5.017,9.332,3.258,1.358,0.749,236.381,195.497,164.681,17.651,77.438,236.381,2.813,0.928,
7399/7400,38,4,12.158,4.729,7.533,2.792,1.178,1.397,213.916,175.884,150.548,17.094,76.947,213.916,2.73,0.918,
8150/8151,93,4,15.402,5.268,10.239,3.413,1.608,0.757,217.178,184.085,151,21.403,76.763,217.178,2.869,1.056,
7369/7370,106,3,12.273,4.63,7.691,3.069,1.214,1.675,192.147,161.076,139.917,17.544,76.646,192.147,2.689,0.888,
7948/7949,14,2,11.944,4.283,7.933,2.641,1.002,0.758,225.527,194.603,159.351,22.007,76.131,225.527,1.838,0.731,
7372/7371,113,2,12.679,4.676,8.038,3.105,1.233,2.036,192.362,159.776,137.429,17.183,76.066,192.362,2.601,0.836,
8003/8004,95,3,16.804,6.048,10.913,4.15,1.709,3.67,222.734,184.428,155.81,18.012,75.898,222.752,3.44,1.273,
7932/7933,87,3,13.049,4.992,8.369,2.893,1.266,0.426,241.896,203.619,169.821,19.402,75.575,241.896,2.615,0.9,
7999/8000,100,5,16.533,5.62,10.953,3.441,1.602,3.929,224.878,185.419,158.044,17.245,75.414,224.879,2.952,1.177,
7887/7888,6,1,17.043,5.756,11.406,4.131,1.405,2.039,191.24,159.48,135.265,23.127,75.37,191.241,3.152,1.026,
7928/7929,27,1,16.714,5.607,11.233,4.077,1.303,3.374,198.627,168.096,141.005,19.683,75.202,198.636,3.299,1.048,
7930/7931,122,1,13.681,5.069,8.682,3.708,1.313,0.865,202.344,174.055,143.826,21.87,75.13,202.39,3.021,0.888,
7930/7931,122,5,13.72,4.965,8.812,3.101,1.208,0.477,203.6,176.334,143.702,22.938,75.014,203.643,2.852,0.869,
7401/7402,120,3,11.483,4.403,7.025,2.682,1.15,0.788,244.968,204.848,172.76,19.005,74.911,244.968,2.393,0.779,
8167/8168,65,1,11.69,4.469,7.14,2.542,0.753,0.621,206.591,182.704,147.326,26.454,74.803,206.591,2.83,0.794,
8136/8137,105,5,10.749,3.985,6.515,2.84,1.036,2.344,74.71,52.918,44.929,91.551,74.711,39.199,2.691,0.841,
7401/7402,120,2,13.409,5.314,8.104,3.176,1.213,0.588,244.94,211.598,172.791,22.898,74.701,244.94,2.919,1.005,
8007/8008,29,4,15.764,5.604,10.416,3.598,1.477,1.541,234.19,191.014,165.149,15.735,74.668,234.19,3.072,1.182,
7932/7933,87,1,13.216,5.15,8.302,3.336,1.23,0.546,237.49,201.726,167.778,20.086,74.518,237.49,2.864,1.016,
7388/7389,55,1,12.539,4.62,7.684,2.894,1.064,2.018,176.836,150.322,125.177,20.235,74.153,176.836,2.899,0.903,
7975/7976,22,3,13.367,4.473,8.819,2.922,1.135,1.04,235.473,202.759,167.026,21.807,73.762,235.473,2.766,0.908,
7999/8000,100,3,14.04,4.85,9.334,3.16,1.381,0.83,224.846,190.261,159.263,20.314,73.623,224.851,2.456,1.017,
7975/7976,22,4,13.39,4.815,8.447,2.544,1.106,1.947,241.179,206.639,171.208,21.225,73.547,241.179,2.904,0.939,
8152/8153,126,4,14.551,4.926,9.697,2.264,1.447,0.538,240.135,207.162,170.979,22.538,73.408,240.135,2.75,1.155,
7975/7976,22,1,14.888,5.374,9.45,3.583,1.291,1.1,207.85,182.865,148.4,26.428,73.362,208.142,3.163,1.087,
7985/7986,47,5,16.369,5.801,10.346,3.788,1.69,1.612,242.79,204.538,172.624,19.117,73.211,242.79,3.039,1.248,
7930/7931,122,2,13.424,4.734,8.841,3.028,1.188,0.771,200.681,176.579,143.74,23.795,72.859,200.684,2.794,0.777,
7891/7892,136,2,19.104,6.436,12.478,4.427,1.634,3.217,220.146,184.182,157.323,17.61,72.75,220.146,3.039,1.325,
7985/7986,47,4,14.208,5.049,9.429,3.139,1.422,0.587,242.398,203.235,172.808,18.724,72.708,242.398,2.315,1.017,
8142/8143,129,3,14.233,4.918,9.354,3.219,1.386,0.879,190.345,159.885,134.505,18.198,72.627,190.345,2.659,0.991,
7997/7998,2,3,16.249,5.639,10.756,3.269,1.454,0.877,233.582,196.29,166.718,18.302,72.333,233.582,3.07,1.29,
8169/8170,72,1,13.954,5.304,8.709,3.787,1.194,2.723,161.233,138.603,115.968,20.038,72.024,161.233,2.938,0.943,
8171/8172,34,2,17.217,5.841,11.372,3.615,1.519,4.252,170.367,148.222,124.006,21.801,71.292,170.367,3.157,1.055,
7338/7339,51,4,13.188,4.543,8.382,2.74,1.288,1.361,196.306,166.339,133.797,18.147,70.887,196.306,2.433,1.01,
7373/7374,130,4,11.536,4.181,7.311,2.227,1.086,0.276,243.204,208.164,175.75,20.938,70.802,243.204,2.349,0.765,no tail spot
7979/7980,71,2,14.981,5.476,9.869,3.125,1.467,0.85,245.101,216.494,176.75,24.327,70.768,245.101,2.856,1.151,
7922/7923,85,2,11.591,4.443,7.025,2.681,1.122,0.737,202.413,182.102,148.791,25.59,70.589,202.503,2.663,0.968,
8138/8139,8,2,16.281,5.783,10.482,3.826,1.526,2.421,197.25,169.638,144.986,19.645,70.583,197.25,2.95,1.254,
8005/8006,1,1,13.741,4.957,8.897,3.096,1.328,0.754,199.613,173.965,145.784,23.623,70.545,200.217,2.127,1.052,
7401/7402,120,4,12.016,4.42,7.399,2.439,0.971,0.848,220.76,185.999,160.654,18.528,69.79,220.76,2.69,0.914,
8138/8139,8,1,12.523,4.568,8.152,2.363,0.892,0.668,171.565,151.121,124.022,22.821,69.538,171.565,2.492,0.905,
7928/7929,27,4,15.146,5.518,9.945,3.337,1.139,0.93,217.443,185.661,158.108,19.682,69.411,217.443,2.656,1.085,
8144/8145,84,5,16.136,5.57,10.658,3.631,1.556,1.118,217.564,190.285,158.89,22.792,69.332,217.564,2.017,1.202,
7983/7984,88,4,16.876,5.697,11.418,3.336,1.378,0.684,219.478,189.707,159.421,22.454,69.23,219.67,2.936,1.036,
